Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/div_ACCOUNT DETAILS                        _b895da""))",Chrome 121.0.0.0,,,13-02-2024 07:49:01,13-02-2024 07:49:02,1.215s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_Receive exclusive offers and promotio_5c7450""))",Chrome 121.0.0.0,,,13-02-2024 07:49:02,13-02-2024 07:49:03,0.634s,PASSED
"verifyTextPresent(""Use 5 character or longer"", false)",Chrome 121.0.0.0,,,13-02-2024 07:49:03,13-02-2024 07:49:03,0.624s,PASSED
"verifyTextPresent(""Your email address isn't formatted correctly"", false)",Chrome 121.0.0.0,,,13-02-2024 07:49:03,13-02-2024 07:49:04,0.533s,PASSED
"verifyTextPresent(""One upper letter required"", false)",Chrome 121.0.0.0,,,13-02-2024 07:49:04,13-02-2024 07:49:04,0.400s,PASSED
"verifyTextPresent(""Passwords do not match"", false)",Chrome 121.0.0.0,,,13-02-2024 07:49:04,13-02-2024 07:49:05,0.521s,PASSED
"verifyElementNotClickable(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/button_REGISTER""))",Chrome 121.0.0.0,,,13-02-2024 07:49:05,13-02-2024 07:49:05,0.456s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 07:49:05,13-02-2024 07:49:06,0.642s,PASSED
Video,Chrome 121.0.0.0,,,13-02-2024 07:49:08,13-02-2024 07:49:08,0.002s,PASSED
,,,,,,,
Test Cases/Register 03 - Sudah Ada User,Chrome 121.0.0.0,,,13-02-2024 07:49:08,13-02-2024 07:49:36,27.730s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,13-02-2024 07:49:08,13-02-2024 07:49:09,0.812s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,13-02-2024 07:49:09,13-02-2024 07:49:12,2.940s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,13-02-2024 07:49:12,13-02-2024 07:49:18,5.961s,PASSED
delay(4),Chrome 121.0.0.0,,,13-02-2024 07:49:18,13-02-2024 07:49:22,4.019s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/a_CREATE NEW ACCOUNT""))",Chrome 121.0.0.0,,,13-02-2024 07:49:22,13-02-2024 07:49:23,0.431s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__usernameRegisterPage""), username)",Chrome 121.0.0.0,,,13-02-2024 07:49:23,13-02-2024 07:49:24,1.748s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__emailRegisterPage""), email)",Chrome 121.0.0.0,,,13-02-2024 07:49:24,13-02-2024 07:49:26,1.333s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__passwordRegisterPage""), password)",Chrome 121.0.0.0,,,13-02-2024 07:49:26,13-02-2024 07:49:27,0.891s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input__confirm_passwordRegisterPage""), password)",Chrome 121.0.0.0,,,13-02-2024 07:49:27,13-02-2024 07:49:27,0.802s,PASSED
"click(findTestObject(""Spy/Register/Page_Advantage Shopping/tocCheckbox""))",Chrome 121.0.0.0,,,13-02-2024 07:49:27,13-02-2024 07:49:28,0.612s,PASSED
"click(findTestObject(""Spy/Register/Page_Advantage Shopping/registerButton""))",Chrome 121.0.0.0,,,13-02-2024 07:49:28,13-02-2024 07:49:28,0.474s,PASSED
delay(4),Chrome 121.0.0.0,,,13-02-2024 07:49:28,13-02-2024 07:49:33,4.028s,PASSED
"verifyTextPresent(""User name already exists"", false)",Chrome 121.0.0.0,,,13-02-2024 07:49:33,13-02-2024 07:49:33,0.437s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,13-02-2024 07:49:33,13-02-2024 07:49:34,0.784s,PASSED
Video,Chrome 121.0.0.0,,,13-02-2024 07:49:36,13-02-2024 07:49:36,0.001s,PASSED
