Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_PERSONAL DETAILS_first_nameRegisterPage""), firstName)",Chrome 121.0.0.0,,,12-02-2024 10:33:41,12-02-2024 10:33:42,1.203s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 30 character_last_nameR_6ef033""), lastName)",Chrome 121.0.0.0,,,12-02-2024 10:33:42,12-02-2024 10:33:43,1.174s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 30 character_phone_numb_7c938a""), phoneNumber)",Chrome 121.0.0.0,,,12-02-2024 10:33:43,12-02-2024 10:33:44,1.279s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/select_AfganistanAlbaniaAlgeriaAmerican Sam_3cef8a""), country, true)",Chrome 121.0.0.0,,,12-02-2024 10:33:44,12-02-2024 10:33:50,6.119s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_Country_cityRegisterPage""), city)",Chrome 121.0.0.0,,,12-02-2024 10:33:50,12-02-2024 10:33:51,0.939s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 25 character_addressReg_9e23b3""), address)",Chrome 121.0.0.0,,,12-02-2024 10:33:51,12-02-2024 10:33:53,1.188s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 50 character_state__pro_272a54""), region)",Chrome 121.0.0.0,,,12-02-2024 10:33:53,12-02-2024 10:33:54,1.182s,PASSED
"setText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_- Use maximum 10 character_postal_cod_639c2f""), postCode)",Chrome 121.0.0.0,,,12-02-2024 10:33:54,12-02-2024 10:33:55,1.195s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/input_Receive exclusive offers and promotio_5c7450""))",Chrome 121.0.0.0,,,12-02-2024 10:33:55,12-02-2024 10:33:56,0.613s,PASSED
"click(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/button_REGISTER""))",Chrome 121.0.0.0,,,12-02-2024 10:33:56,12-02-2024 10:33:56,0.578s,PASSED
"verifyElementText(findTestObject(""Object Repository/Record/Register/Page_Advantage Shopping/span_testname""), username)",Chrome 121.0.0.0,,,12-02-2024 10:33:56,12-02-2024 10:34:28,31.524s,PASSED
delay(3),Chrome 121.0.0.0,,,12-02-2024 10:34:28,12-02-2024 10:34:31,3.016s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 10:34:31,12-02-2024 10:34:31,0.394s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 10:34:33,12-02-2024 10:34:33,0.001s,PASSED
,,,,,,,
Test Cases/Login,Chrome 121.0.0.0,,,12-02-2024 10:34:33,12-02-2024 10:34:51,17.546s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 10:34:33,12-02-2024 10:34:34,0.887s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,12-02-2024 10:34:34,12-02-2024 10:34:38,3.409s,PASSED
